#1
double motor_load_speed(8001,3)
0.035,0.0014510466,0.0001793842
0.035,0.0017805665,0.00019601877
0.036,0.001849789,0.00022341953
0.036,0.0017826523,2.3437971e-05
0.037,0.001859041,5.1612093e-05
0.037,0.0019584221,-0.00045305214
0.038,0.0020255183,-0.0004241654
0.038,0.00084402,0.00047530493
0.039,0.0010239498,0.0005061705
0.039,0.0021153176,0.00070988794
0.04,0.0021811405,0.00074260053
0.04,0.0022446853,0.0003836421
0.041,0.0023059929,0.00041669665
0.041,0.0022882265,3.6120193e-05
0.042,0.0023532293,6.9490554e-05
0.042,0.0031032325,0.00024310706
0.043,0.0030989966,0.00027595717
0.043,0.0028647012,0.0010751586
0.044,0.0028917573,0.0011070532
0.044,0.0021123309,0.00029187932
0.045,0.0022188027,0.0003242146
0.045,0.0020195034,0.00025539147
0.046,0.0021420002,0.00028930753
0.046,0.0032960488,-2.270464e-05
0.047,0.003304998,1.1509818e-05
0.047,0.0015632744,0.0014587792
0.048,0.0017446987,0.001494055
0.048,0.0029203538,-6.877126e-05
0.049,0.0029798972,-3.191076e-05
0.049,0.0024234303,0.00026290547
0.05,0.0025380773,0.00030050427
0.05,0.0033482537,0.00019706086
0.051,0.0033829103,0.00023503498
0.051,0.0033756297,0.00038738752
0.052,0.003416246,0.00042482477
0.052,0.0019749706,0.00034178398
0.053,0.0021564346,0.00038052603
0.053,0.004241617,0.0015156254
0.054,0.0042154295,0.0015547343
0.054,0.0028166673,0.0009197481
0.055,0.0029346247,0.0009584921
0.055,0.0028631901,0.001100628
0.056,0.0029842313,0.0011407954
0.056,0.004208304,0.0010223191
0.057,0.0042097075,0.0010623996
0.057,0.0038118314,0.0010264732
0.058,0.0038598538,0.0010655983
0.058,0.003502059,0.00038283409
0.059,0.0035878376,0.0004220651
0.059,0.0036466816,0.00143997
0.06,0.003726759,0.001479683
0.06,0.0029979262,0.0023281765
0.061,0.0031473923,0.002369146
0.061,0.0036871757,0.0022333062
0.062,0.0037786628,0.0022755999
0.062,0.0044534756,0.0015137189
0.063,0.004480547,0.0015557803
0.063,0.0030398178,0.0009588259
0.064,0.0032093946,0.0010016558
0.064,0.003996186,0.0011395577
0.065,0.004082331,0.0011838065
0.065,0.0039224084,0.0015980751
0.066,0.0040236847,0.001642868
0.066,0.0030550354,0.0020735317
0.067,0.0032462624,0.0021201493
0.067,0.0045058965,0.0010087445
0.068,0.004566788,0.0010565798
0.068,0.0048712282,0.001987019
0.069,0.004906213,0.002034124
0.069,0.0052584168,0.0020263188
0.07,0.0052657486,0.002072053
0.07,0.0057966947,0.0016919185
0.071,0.0057624117,0.0017354683
0.071,0.0042460174,0.0014547864
0.072,0.004368043,0.0014976669
0.072,0.0041148537,0.0021766988
0.073,0.0042568385,0.002221067
0.073,0.0045985114,0.0018419796
0.074,0.0047021117,0.0018875416
0.074,0.005373724,0.0017247044
0.075,0.005411938,0.0017701341
0.075,0.004455633,0.002219435
0.076,0.0045893844,0.0022651323
0.076,0.0046007046,0.0012080681
0.077,0.0047281883,0.0012550952
0.077,0.0045738006,0.0024027121
0.078,0.004711387,0.0024510685
0.078,0.0046089375,0.0012045985
0.079,0.0047506536,0.0012544068
0.079,0.0038601526,0.002264013
0.08,0.0040800697,0.0023162435
0.08,0.0057588224,0.001665457
0.081,0.0058057006,0.0017188074
0.081,0.0062307147,0.0027700423
0.082,0.006241799,0.002821928
0.082,0.004802472,0.0028570453
0.083,0.00495777,0.0029088757
0.083,0.005820191,0.0033785442
0.084,0.0058865054,0.0034309486
0.084,0.005274117,0.001303785
0.085,0.0054004663,0.0013564104
0.085,0.0059726634,0.002859034
0.086,0.0060405605,0.0029118632
0.086,0.0062149484,0.0022331395
0.087,0.0062682936,0.0022852703
0.087,0.006490032,0.0024706668
0.088,0.0065258625,0.002521722
0.088,0.0063521136,0.0032225265
0.089,0.006409628,0.0032725956
0.089,0.0057158316,0.0023981945
0.09,0.005841761,0.0024484212
0.09,0.005564685,0.0023363375
0.091,0.005712202,0.002387808
0.091,0.0062664,0.0017588662
0.092,0.0063546016,0.0018110535
0.092,0.006145708,0.002996619
0.093,0.0062531214,0.0030490155
0.093,0.0072717723,0.003291258
0.094,0.007280254,0.0033428487
0.094,0.006077707,0.0031381205
0.095,0.00620783,0.0031892485
0.095,0.006613646,0.002139598
0.096,0.0067001577,0.0021912006
0.096,0.007351392,0.0025329837
0.097,0.007375781,0.002583737
0.097,0.00737382,0.00295782
0.098,0.0074044624,0.0030070744
0.098,0.006309164,0.0021952903
0.099,0.0064486125,0.0022445254
0.099,0.0058108927,0.0027099212
0.1,0.0060040625,0.0027611193
0.1,0.0076019797,0.0046554604
0.101,0.0076317615,0.0047071613
0.101,0.007862292,0.002612197
0.102,0.007875569,0.0026621968
0.102,0.0075736134,0.0037994247
0.103,0.0076223733,0.0038480193
0.103,0.007401028,0.0030732933
0.104,0.0074736937,0.0031212536
0.104,0.0070266468,0.0034132602
0.105,0.0071418723,0.003461424
0.105,0.0073461556,0.0034008955
0.106,0.0074377097,0.0034494717
0.106,0.007677806,0.0029724066
0.107,0.0077448087,0.0030207846
0.107,0.0087410305,0.0021298325
0.108,0.008714589,0.0021765523
0.108,0.007520587,0.003749161
0.109,0.0076176943,0.0037946869
0.109,0.0075803297,0.0034318028
0.11,0.007678168,0.0034776756
0.11,0.0077706,0.0038660946
0.111,0.007856754,0.0039121625
0.111,0.007964796,0.003580181
0.112,0.008038981,0.0036261436
0.112,0.008245915,0.004124114
0.113,0.008299989,0.0041695763
0.113,0.008299816,0.003448357
0.114,0.0083554275,0.0034931095
0.114,0.008225294,0.0039126817
0.115,0.008294444,0.003956933
0.115,0.008618664,0.004271891
0.116,0.008656833,0.0043154326
0.116,0.008244757,0.004226488
0.117,0.008324772,0.0042694896
0.117,0.00832008,0.0035264185
0.118,0.008398793,0.0035693857
0.118,0.008471044,0.003658606
0.119,0.008541224,0.003701416
0.119,0.008845867,0.00403849
0.12,0.008886366,0.0040806727
0.12,0.009114514,0.004112705
0.121,0.009135651,0.004153679
0.121,0.009361828,0.0035622718
0.122,0.009365735,0.0036016277
0.122,0.009223064,0.004873486
0.123,0.009246303,0.00491131
0.123,0.008423477,0.0043670125
0.124,0.008528077,0.004404605
0.124,0.008803295,0.0052813236
0.125,0.008876545,0.0053192847
0.125,0.008518506,0.0044453978
0.126,0.008623557,0.004483732
0.126,0.00846995,0.0043022917
0.127,0.008583938,0.0043414817
0.127,0.0095866835,0.004868383
0.128,0.009599257,0.0049072416
0.128,0.009054088,0.004452291
0.129,0.0091224,0.0044902973
0.129,0.009176806,0.0047620167
0.13,0.009238,0.004799785
0.13,0.009592317,0.0048195347
0.131,0.009618685,0.004856551
0.131,0.009796784,0.003908425
0.132,0.009808596,0.003944112
0.132,0.008826688,0.0050592883
0.133,0.008934985,0.005094718
0.133,0.009249902,0.0043025054
0.134,0.0093215285,0.004338397
0.134,0.009399286,0.0045278696
0.135,0.009460512,0.0045636334
0.135,0.009719451,0.004753193
0.136,0.009754139,0.0047883764
0.136,0.009825155,0.004194309
0.137,0.00985378,0.004228535
0.137,0.009705279,0.0048942156
0.138,0.009749074,0.0049276333
0.138,0.0090468,0.0053532864
0.139,0.009156293,0.0053869267
0.139,0.008737644,0.004792806
0.14,0.008878782,0.0048278514
0.14,0.009577327,0.0049455944
0.141,0.009641,0.0049814135
0.141,0.009283828,0.0041855574
0.142,0.009378085,0.0042215683
0.142,0.01033633,0.004930803
0.143,0.010333389,0.004966157
0.143,0.010357279,0.0049313335
0.144,0.010355798,0.0049648946
0.144,0.010280521,0.0050729173
0.145,0.010289494,0.0051048947
0.145,0.009808286,0.0053514815
0.146,0.009864735,0.0053826487
0.146,0.010948486,0.005291407
0.147,0.010899169,0.0053210463
0.147,0.009701748,0.0049967044
0.148,0.009773509,0.0050251014
0.148,0.011088637,0.004861693
0.149,0.011030679,0.0048887357
0.149,0.010501037,0.0051555745
0.15,0.010501551,0.0051804725
0.15,0.009973877,0.004710545
0.151,0.010026105,0.004734725
0.151,0.009589235,0.004808019
0.152,0.009678802,0.0048325993
0.152,0.009825978,0.0055148946
0.153,0.009893486,0.005540041
0.153,0.009585488,0.005061745
